problem_id,solved,solve_number,verified_job_id,verified_at_utc,race_elapsed_seconds,first_attempt_to_verified_seconds,first_attempt_to_final_outcome_seconds,controller_runs,controller_failed_runs,controller_rollout_sessions,controller_models,controller_statuses,controller_agent_seconds_total,controller_verification_seconds_total,controller_cost_usd,controller_input_tokens,controller_cached_input_tokens,controller_cache_write_input_tokens,controller_output_tokens,controller_reasoning_output_tokens,lean_files,solution_physical_loc,solution_code_loc,added_physical_loc,added_code_loc,declaration_count,controller_cached_input_fraction,controller_cost_per_added_code_loc,nested_subagent_sessions,problem_subtree_sessions,problem_subtree_model_calls,problem_subtree_long_context_calls,problem_subtree_input_tokens,problem_subtree_cached_input_tokens,problem_subtree_cache_write_input_tokens,problem_subtree_output_tokens,problem_subtree_reasoning_output_tokens,problem_subtree_cost_usd,nested_subagent_cost_usd,problem_subtree_cached_input_fraction,problem_subtree_cost_per_added_code_loc
shannon_capacity_pentagon,True,61,shannon_capacity_pentagon-001,2026-08-16T14:50:20.825Z,24036.185,651.309,651.309,1,0,1,gpt-5.6-sol,verified:1,611.239,40.063,2.351767000,2528897,2392064,0,15719,6145,5,555,482,540,472,55,0.945892,0.004983,3,4,154,0,8099707,7725568,0,60994,25184,7.563299000,5.211532000,0.953808,0.016024
solvable_by_radicals_converse,True,68,solvable_by_radicals_converse-001,2026-08-16T16:12:59.001Z,28994.361,1492.079,1492.079,1,0,1,gpt-5.6-sol,verified:1,1409.537,82.534,8.703196000,12329534,12029952,0,39677,21624,7,362,319,348,310,9,0.975702,0.028075,4,5,318,0,42175517,41073152,0,133550,67662,30.054901000,21.351705000,0.973862,0.096951
sturm,True,54,sturm-001,2026-08-16T13:31:25.383Z,19300.743,1337.102,1337.102,1,0,1,gpt-5.6-sol,verified:1,1299.992,37.103,7.807499000,10412077,10060288,0,33947,17126,6,1448,1286,1430,1273,105,0.966213,0.006133,3,4,296,0,27036567,26055680,0,133391,65058,21.934005000,14.126506000,0.96372,0.01723
sturm_separation,True,10,sturm_separation-001,2026-08-16T08:32:47.545Z,1382.905,1382.794,1382.794,1,0,1,gpt-5.6-sol,verified:1,1292.215,90.572,1.905516000,2004978,1915392,0,16663,8609,5,451,432,429,414,6,0.955318,0.004603,3,4,104,0,4551831,4249600,0,50465,24352,5.149905000,3.244389000,0.933602,0.012439
substInv_X_sub_X_sq_eq_catalan,True,7,substInv_X_sub_X_sq_eq_catalan-001,2026-08-16T08:22:22.767Z,758.127,758.07,758.07,1,0,1,gpt-5.6-sol,verified:1,722.835,35.227,2.459390000,2838106,2739200,0,19842,10365,2,48,43,31,31,1,0.965151,0.079335,3,4,123,0,6885241,6543616,0,79199,36703,7.355903000,4.896513000,0.950383,0.237287
symAction_range_eq_centralizer_glAction,True,62,symAction_range_eq_centralizer_glAction-001,2026-08-16T14:53:45.649Z,24241.009,1925.62,1925.62,1,0,1,gpt-5.6-sol,verified:1,1852.74,72.87,8.727472000,11864618,11560704,0,47585,29066,5,825,738,808,726,50,0.974385,0.012021,5,6,595,0,64479298,63013120,0,204885,104672,44.984000000,36.256528000,0.977261,0.061961
symplectic_matrix_det,True,1,symplectic_matrix_det-001,2026-08-16T08:11:34.826Z,110.186,110.13,110.13,1,0,1,gpt-5.6-luna,verified:1,66.427,43.697,0.010402040,181063,160512,0,2568,1180,2,16,11,1,1,1,0.886498,0.010402,0,1,9,0,181063,160512,0,2568,1180,0.010402040,0.000000000,0.886498,0.010402
trace_cayley_hamilton_newton,True,14,trace_cayley_hamilton_newton-001,2026-08-16T09:04:44.442Z,3299.802,2485.06,2485.06,1,0,1,gpt-5.6-sol,verified:1,2408.901,76.152,9.551123000,14576863,14327296,0,37988,20855,2,228,205,207,190,13,0.982879,0.050269,3,4,437,0,56753562,55745280,0,138817,69075,37.078560000,27.527437000,0.982234,0.19515
turing_recursive_equiv,False,0,,,0.0,0.0,1499.882,1,1,1,gpt-5.6-sol,incomplete:1,1499.881,0.0,8.947741000,12051215,11727872,0,48903,25020,0,0,0,0,0,0,0.973169,0,3,4,374,0,46036768,44964352,0,201130,97961,33.878156000,24.930415000,0.976705,0
tverberg_theorem,True,51,tverberg_theorem-001,2026-08-16T13:18:14.430Z,18509.79,1197.515,1197.515,1,0,1,gpt-5.6-sol,verified:1,1093.613,103.894,6.012337000,8121281,7915264,0,34154,15598,5,622,559,609,551,31,0.974632,0.010912,3,4,290,0,20560200,19899904,0,104747,44414,16.393842000,10.381505000,0.967885,0.029753
vonNeumann_doubleCommutant_tfae,True,45,vonNeumann_doubleCommutant_tfae-001,2026-08-16T12:31:26.001Z,15701.361,1096.657,1096.657,1,0,1,gpt-5.6-sol,verified:1,1035.154,61.496,4.875968000,5974282,5773056,0,32777,12577,2,417,350,398,335,38,0.966318,0.014555,3,4,168,0,15365185,14814208,0,71523,27120,12.307679000,7.431711000,0.964141,0.036739
wiener_atom_detection,True,37,wiener_atom_detection-001,2026-08-16T11:20:09.979Z,11425.339,623.789,623.789,1,0,1,gpt-5.6-sol,verified:1,555.913,67.869,2.490090000,3145614,3048960,0,16078,6303,8,369,313,349,298,29,0.969273,0.008356,3,4,141,0,6255313,5991168,0,42039,16810,5.577479000,3.087389000,0.957773,0.018716
wiener_inverse_closed,True,58,wiener_inverse_closed-002,2026-08-16T14:18:05.076Z,22100.436,1064.715,1064.715,2,1,2,gpt-5.6-luna;gpt-5.6-sol,verification_failed:1;verified:1,844.479,131.962,2.305098680,2590711,2481152,0,21216,7595,4,542,447,526,437,60,0.957711,0.005275,3,5,227,0,12749165,12271872,0,69046,27716,10.474028680,8.168930000,0.962563,0.023968
wiener_levy_analytic_calculus,True,64,wiener_levy_analytic_calculus-001,2026-08-16T15:34:40.190Z,26695.55,2507.869,2507.869,1,0,1,gpt-5.6-sol,verified:1,2389.189,118.671,13.917231000,20943309,20553472,0,56377,28174,16,2674,2307,2655,2294,212,0.981386,0.006067,3,4,675,0,76715351,75150592,0,252203,113758,52.965181000,39.047950000,0.979603,0.023089
